# LABEL 検査の据え置き分 (file	ラベル	リンク先title	リンク先パス)。手編集せず
# node tools/checkJaTranslation.js --update-label-baseline で再生成する。
# 減らす方向の再生成のみ可。増える再生成は新規違反の隠蔽なので禁止。
docs/ja/develop/4-4-news-template.md	公式アップデートページ	参加のはじめ方	develop/1-start.md
docs/ja/people/characters/brother4.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/brother4.md	小師妹	唐默鈴	people/characters/girl0.md
docs/ja/people/characters/brother4.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/brother4.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/brother4.md	鈴児	唐默鈴	people/characters/girl0.md
docs/ja/people/characters/firebird1.md	小梅	上官螢	people/characters/girl4.md
docs/ja/people/characters/firebird1.md	小梅	上官螢	people/characters/girl4.md
docs/ja/people/characters/girl0.md	三師兄	唐陞	people/characters/brother3.md
docs/ja/people/characters/girl0.md	二師兄	唐錚	people/characters/brother2.md
docs/ja/people/characters/girl0.md	二師兄	唐錚	people/characters/brother2.md
docs/ja/people/characters/girl0.md	四師兄	唐惟元	people/characters/brother4.md
docs/ja/people/characters/girl0.md	四師兄	唐惟元	people/characters/brother4.md
docs/ja/people/characters/girl0.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/girl0.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/girl0.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/girl0.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/girl0.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/girl0.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/girl0.md	大師兄	唐布衣	people/characters/brother1.md
docs/ja/people/characters/girl0.md	折り紙集	摺紙集	system/books/book_8108.md
docs/ja/people/characters/girl0.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/girl0.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/girl0.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/girl0.md	父親	唐中翎	people/characters/master.md
docs/ja/people/characters/girl3.md	唐仙児	火閃電	people/characters/firebird1.md
docs/ja/people/characters/girl4.md	唐四	唐惟元	people/characters/brother4.md
docs/ja/people/characters/girl4.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/girl4.md	苦悶拳	苦悩拳	system/books/book_3000.md
docs/ja/people/characters/girl5.md	小梅	虞小梅	people/characters/girl3.md
docs/ja/people/characters/girl5.md	小竹	郁竹	people/characters/girl6.md
docs/ja/people/characters/girl7.md	當世詞選	当世詞選	system/books/book_8013.md
docs/ja/people/characters/girl8.md	問答集2024年10月#_2024-10-08	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/characters/girl8.md	問答集2024年10月#_2024-10-17	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/characters/girl8.md	問答集2024年10月#_2024-10-21	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/characters/girl8.md	問答集2024年10月#_2024-10-28	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/characters/girl8.md	問答集2024年10月#_2024-10-31	鳥熊 Q&A 集 2024年10月	other/qna/202410.md
docs/ja/people/characters/girl8.md	問答集2024年11月#_2024-11-04	鳥熊 Q&A 集 2024年11月	other/qna/202411.md
docs/ja/people/characters/girl8.md	問答集2024年11月#_2024-11-06	鳥熊 Q&A 集 2024年11月	other/qna/202411.md
docs/ja/people/characters/girl8.md	問答集2024年9月#_2024-09-24	鳥熊 Q&A 集 2024年9月	other/qna/202409.md
docs/ja/people/characters/girl8.md	生父	龍淵	people/characters/special2.md
docs/ja/people/characters/index.md	唐嬌嬌	狄傲 (テキゴウ) / 唐嬌嬌	people/characters/big_trainee_girl_1.md
docs/ja/people/characters/master.md	極楽教一役	決戦極楽教	event/stories/決戰極樂教.md
docs/ja/people/characters/other1.md	裂骨魔	郁竹	people/characters/girl6.md
docs/ja/people/characters/other13.md	王春暁	王二壮	people/characters/special401.md
docs/ja/people/characters/other13.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/other13.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/other13.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/other17.md	小梅	虞小梅	people/characters/girl3.md
docs/ja/people/characters/other17.md	小竹	郁竹	people/characters/girl6.md
docs/ja/people/characters/other17.md	幇主	王二壮	people/characters/special401.md
docs/ja/people/characters/other19.md	旧魔教	極楽教	people/factions/elysium-school.md
docs/ja/people/characters/other7.md	左使	李元棄	people/characters/special213.md
docs/ja/people/characters/other7.md	極楽教の一戦	決戦極楽教	event/stories/決戰極樂教.md
docs/ja/people/characters/other7.md	極楽魔尊	極楽教	people/factions/elysium-school.md
docs/ja/people/characters/player.md	小竹	郁竹	people/characters/girl6.md
docs/ja/people/characters/player.md	師娘	唐鹿	people/characters/other10.md
docs/ja/people/characters/player.md	惟元	唐惟元	people/characters/brother4.md
docs/ja/people/characters/player.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/player.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/player.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/player.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/player.md	鈴児	唐默鈴	people/characters/girl0.md
docs/ja/people/characters/player.md	黒衣人	唐布衣	people/characters/brother1.md
docs/ja/people/characters/special1.md	南嵩山寺	嵩山派	people/factions/mount-song-sect.md
docs/ja/people/characters/special1.md	白鯊幇主	白鯊幇	people/factions/white-shark-gang.md
docs/ja/people/characters/special101.md	王春暁	王二壮	people/characters/special401.md
docs/ja/people/characters/special101.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/special101.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/special101.md	蘇迎香	温夫人	people/characters/special402.md
docs/ja/people/characters/special101.md	錦香閣	錦香宮	people/factions/jin-xiang-palace.md
docs/ja/people/characters/special102.md	公子秀	段智秀	people/characters/special833.md
docs/ja/people/characters/special102.md	祖父	南宮橫	people/characters/special104.md
docs/ja/people/characters/special103.md	大公子	南宮深	people/characters/special102.md
docs/ja/people/characters/special103.md	大猿猴	袁乘風	people/characters/other11.md
docs/ja/people/characters/special103.md	東海龍王	上官隼	people/characters/special407.md
docs/ja/people/characters/special103.md	父	南宮遠	people/characters/special101.md
docs/ja/people/characters/special103.md	王幇主	王二壮	people/characters/special401.md
docs/ja/people/characters/special104.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/special104.md	王幇主	王二壮	people/characters/special401.md
docs/ja/people/characters/special2.md	唐掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/special2.md	極楽教主との決戦	決戦極楽教	event/stories/決戰極樂教.md
docs/ja/people/characters/special2.md	翼王	完顔珣	people/characters/special819.md
docs/ja/people/characters/special201.md	丘真人	丘處機	people/characters/special209.md
docs/ja/people/characters/special201.md	南宮老太爺	南宮橫	people/characters/special104.md
docs/ja/people/characters/special201.md	唐の兄貴	唐中翎	people/characters/master.md
docs/ja/people/characters/special202.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/special202.md	極楽教主	申屠龍	people/characters/special405.md
docs/ja/people/characters/special202.md	点蒼剣聖	無名	people/characters/special406.md
docs/ja/people/characters/special202.md	蒼松剣客	葉雲舟	people/characters/special3.md
docs/ja/people/characters/special203.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/special203.md	極楽教主	申屠龍	people/characters/special405.md
docs/ja/people/characters/special203.md	点蒼剣聖	無名	people/characters/special406.md
docs/ja/people/characters/special203.md	蒼松剣客	葉雲舟	people/characters/special3.md
docs/ja/people/characters/special205.md	全真派	全真教	people/factions/quan-zhen-sect.md
docs/ja/people/characters/special205.md	奪魄幽蘭	夏侯蘭	people/characters/girl5.md
docs/ja/people/characters/special205.md	風神	解無塵	people/characters/special808.md
docs/ja/people/characters/special205.md	飛俠	唐布衣	people/characters/brother1.md
docs/ja/people/characters/special208.md	乾娘	唐小楼	people/characters/aunt2.md
docs/ja/people/characters/special208.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/special208.md	掌門	唐中翎	people/characters/master.md
docs/ja/people/characters/special209.md	全真派	全真教	people/factions/quan-zhen-sect.md
docs/ja/people/characters/special210.md	丘真人	丘處機	people/characters/special209.md
docs/ja/people/characters/special210.md	丘真人	丘處機	people/characters/special209.md
docs/ja/people/characters/special211.md	寧陽郡主	段婉清	people/characters/special836.md
docs/ja/people/characters/special212_2.md	教主	申屠龍	people/characters/special405.md
docs/ja/people/characters/special212_2.md	極楽教主	李仁友	people/characters/other7.md
docs/ja/people/characters/special213.md	白風峒変亂	白風峒変乱	event/stories/白風峒變亂.md
docs/ja/people/characters/special213.md	白風峒変亂	白風峒変乱	event/stories/白風峒變亂.md
